percobaan,jam,suhu,kelembaban,kadar_gas,status_kematangan
1,1,28.73,78.77,0.02,belum matang
1,2,28.51,78.62,0.01,belum matang
1,3,28.33,78.22,0.01,belum matang
1,4,29.2,78.46,0.01,belum matang
1,5,28.42,78.65,0.0,belum matang
1,6,28.48,78.93,0.02,belum matang
1,7,28.99,78.87,0.01,belum matang
1,8,28.5,79.07,0.01,belum matang
1,9,28.48,78.72,0.01,belum matang
1,10,28.53,78.97,0.01,belum matang
1,11,28.99,78.77,0.02,belum matang
1,12,30.19,79.32,0.01,belum matang
1,13,29.24,78.96,0.0,belum matang
1,14,29.18,79.13,0.0,belum matang
1,15,28.36,79.11,0.01,belum matang
1,16,29.09,79.62,0.01,belum matang
1,17,29.17,79.53,0.01,belum matang
1,18,28.04,79.93,0.01,belum matang
1,19,28.59,80.11,0.01,belum matang
1,20,29.21,80.11,0.0,belum matang
1,21,28.76,80.46,0.01,belum matang
1,22,29.54,80.56,0.03,belum matang
1,23,28.34,80.67,0.01,belum matang
1,24,28.09,81.25,0.01,belum matang
1,25,28.81,81.25,0.0,belum matang
1,26,28.4,81.86,0.01,belum matang
1,27,28.58,82.2,0.02,belum matang
1,28,28.92,82.58,0.02,belum matang
1,29,28.88,82.9,0.01,belum matang
1,30,28.67,83.36,0.23,belum matang
1,31,28.65,83.41,0.14,belum matang
1,32,28.6,84.41,0.16,belum matang
1,33,28.71,85.05,0.0,belum matang
1,34,28.32,85.84,0.14,belum matang
1,35,27.96,85.91,0.05,belum matang
1,36,28.85,86.6,0.1,belum matang
1,37,28.8,87.34,0.15,belum matang
1,38,28.51,87.7,0.22,belum matang
1,39,28.79,88.46,0.09,belum matang
1,40,28.41,88.97,0.14,belum matang
1,41,29.49,89.57,0.38,belum matang
1,42,28.36,89.75,0.21,belum matang
1,43,29.26,90.49,0.37,matang
1,44,28.8,90.46,0.37,matang
1,45,28.18,90.99,0.24,matang
1,46,29.11,91.18,0.32,matang
1,47,28.35,91.42,0.45,matang
1,48,29.32,91.86,0.56,matang
1,49,30.07,91.92,0.44,matang
1,50,28.08,92.43,0.63,matang
1,51,28.36,92.5,0.66,terlalu matang
1,52,28.91,92.71,0.6,terlalu matang
1,53,28.19,92.89,0.76,terlalu matang
1,54,29.16,92.61,0.61,terlalu matang
1,55,28.23,93.07,0.87,terlalu matang
1,56,29.01,93.2,0.71,terlalu matang
1,57,28.87,92.82,0.79,terlalu matang
1,58,29.24,93.11,1.06,terlalu matang
1,59,29.06,93.77,1.03,terlalu matang
1,60,28.09,93.27,1.01,terlalu matang
2,1,28.82,78.94,0.01,belum matang
2,2,28.9,78.64,0.0,belum matang
2,3,28.71,79.0,0.01,belum matang
2,4,28.31,78.89,0.01,belum matang
2,5,28.49,78.9,0.01,belum matang
2,6,28.36,78.97,0.01,belum matang
2,7,29.48,79.14,0.0,belum matang
2,8,28.47,79.07,0.01,belum matang
2,9,29.19,79.78,0.01,belum matang
2,10,29.5,79.24,0.01,belum matang
2,11,28.78,79.26,0.01,belum matang
2,12,28.82,79.07,0.01,belum matang
2,13,30.09,78.87,0.01,belum matang
2,14,28.13,79.23,0.02,belum matang
2,15,28.97,79.2,0.01,belum matang
2,16,29.28,79.38,0.01,belum matang
2,17,28.96,79.52,0.02,belum matang
2,18,29.25,79.39,0.01,belum matang
2,19,28.61,80.13,0.01,belum matang
2,20,28.88,80.24,0.01,belum matang
2,21,28.34,80.28,0.01,belum matang
2,22,28.61,80.93,0.01,belum matang
2,23,28.31,81.02,0.02,belum matang
2,24,29.45,80.82,0.01,belum matang
2,25,29.57,81.3,0.01,belum matang
2,26,29.32,81.61,0.01,belum matang
2,27,27.32,81.98,0.01,belum matang
2,28,28.31,82.92,0.0,belum matang
2,29,28.72,83.07,0.02,belum matang
2,30,28.22,83.75,0.1,belum matang
2,31,28.45,84.12,0.13,belum matang
2,32,28.64,84.56,0.08,belum matang
2,33,28.99,85.22,0.29,belum matang
2,34,28.32,86.07,0.0,belum matang
2,35,28.86,86.33,0.18,belum matang
2,36,28.63,86.73,0.11,belum matang
2,37,28.64,87.5,0.21,belum matang
2,38,28.59,88.05,0.22,belum matang
2,39,29.34,88.52,0.12,belum matang
2,40,28.66,89.05,0.28,belum matang
2,41,28.93,89.4,0.37,belum matang
2,42,28.64,89.93,0.24,belum matang
2,43,28.83,90.46,0.37,belum matang
