,suhu,kelembaban,jam,kadar_gas,status_kematangan
0,28.73,78.77,1,0.02,belum matang
1,28.51,78.62,2,0.01,belum matang
2,28.33,78.22,3,0.01,belum matang
3,29.2,78.46,4,0.01,belum matang
4,28.42,78.65,5,0.0,belum matang
5,28.48,78.93,6,0.02,belum matang
6,28.99,78.87,7,0.01,belum matang
7,28.5,79.07,8,0.01,belum matang
8,28.48,78.72,9,0.01,belum matang
9,28.53,78.97,10,0.01,belum matang
10,28.99,78.77,11,0.02,belum matang
11,30.19,79.32,12,0.01,belum matang
12,29.24,78.96,13,0.0,belum matang
13,29.18,79.13,14,0.0,belum matang
14,28.36,79.11,15,0.01,belum matang
15,29.09,79.62,16,0.01,belum matang
16,29.17,79.53,17,0.01,belum matang
17,28.04,79.93,18,0.01,belum matang
18,28.59,80.11,19,0.01,belum matang
19,29.21,80.11,20,0.0,belum matang
20,28.76,80.46,21,0.01,belum matang
21,29.54,80.56,22,0.03,belum matang
22,28.34,80.67,23,0.01,belum matang
23,28.09,81.25,24,0.01,belum matang
24,28.81,81.25,25,0.0,belum matang
25,28.4,81.86,26,0.01,belum matang
26,28.58,82.2,27,0.02,belum matang
27,28.92,82.58,28,0.02,belum matang
28,28.88,82.9,29,0.01,belum matang
29,28.67,83.36,30,0.23,belum matang
30,28.65,83.41,31,0.14,belum matang
31,28.6,84.41,32,0.16,belum matang
32,28.71,85.05,33,0.0,belum matang
33,28.32,85.84,34,0.14,belum matang
34,27.96,85.91,35,0.05,belum matang
35,28.85,86.6,36,0.1,belum matang
36,28.8,87.34,37,0.15,belum matang
37,28.51,87.7,38,0.22,belum matang
38,28.79,88.46,39,0.09,belum matang
39,28.41,88.97,40,0.14,belum matang
40,29.49,89.57,41,0.38,belum matang
41,28.36,89.75,42,0.21,belum matang
42,29.26,90.49,43,0.37,matang
43,28.8,90.46,44,0.37,matang
44,28.18,90.99,45,0.24,matang
45,29.11,91.18,46,0.32,matang
46,28.35,91.42,47,0.45,matang
47,29.32,91.86,48,0.56,matang
48,30.07,91.92,49,0.44,matang
49,28.08,92.43,50,0.63,matang
50,28.36,92.5,51,0.66,terlalu matang
51,28.91,92.71,52,0.6,terlalu matang
52,28.19,92.89,53,0.76,terlalu matang
53,29.16,92.61,54,0.61,terlalu matang
54,28.23,93.07,55,0.87,terlalu matang
55,29.01,93.2,56,0.71,terlalu matang
56,28.87,92.82,57,0.79,terlalu matang
57,29.24,93.11,58,1.06,terlalu matang
58,29.06,93.77,59,1.03,terlalu matang
59,28.09,93.27,60,1.01,terlalu matang
60,28.82,78.94,1,0.01,belum matang
61,28.9,78.64,2,0.0,belum matang
62,28.71,79.0,3,0.01,belum matang
63,28.31,78.89,4,0.01,belum matang
64,28.49,78.9,5,0.01,belum matang
65,28.36,78.97,6,0.01,belum matang
66,29.48,79.14,7,0.0,belum matang
67,28.47,79.07,8,0.01,belum matang
68,29.19,79.78,9,0.01,belum matang
69,29.5,79.24,10,0.01,belum matang
70,28.78,79.26,11,0.01,belum matang
71,28.82,79.07,12,0.01,belum matang
72,30.09,78.87,13,0.01,belum matang
73,28.13,79.23,14,0.02,belum matang
74,28.97,79.2,15,0.01,belum matang
75,29.28,79.38,16,0.01,belum matang
76,28.96,79.52,17,0.02,belum matang
77,29.25,79.39,18,0.01,belum matang
78,28.61,80.13,19,0.01,belum matang
79,28.88,80.24,20,0.01,belum matang
80,28.34,80.28,21,0.01,belum matang
81,28.61,80.93,22,0.01,belum matang
82,28.31,81.02,23,0.02,belum matang
83,29.45,80.82,24,0.01,belum matang
84,29.57,81.3,25,0.01,belum matang
